,pid,grp,duration
161,161,Begin,1
162,162,Begin,1
162,162,Brazil,4
162,162,Begin,1
163,163,Begin,1
163,163,Mexico,4
163,163,Begin,1
164,164,Begin,1
164,164,Peru,4
164,164,Begin,1
165,165,Begin,1
165,165,Mexico,4
165,165,Begin,1
166,166,Begin,1
166,166,Other,4
166,166,Begin,1
167,167,Begin,1
167,167,Mexico,4
167,167,Begin,1
168,168,Begin,1
168,168,Other,4
168,168,Begin,1
169,169,Begin,1
169,169,Peru,4
169,169,Begin,1
170,170,Begin,1
170,170,US,4
170,170,Begin,1
171,171,Begin,1
171,171,Other,4
171,171,Begin,1
172,172,Begin,1
172,172,Mexico,4
172,172,Begin,1
173,173,Begin,1
173,173,Mexico,4
173,173,Begin,1
174,174,Begin,1
174,174,Other,4
174,174,Begin,1
175,175,Begin,1
175,175,Peru,4
175,175,Begin,1
176,176,Begin,1
176,176,Peru,4
176,176,Begin,1
177,177,Begin,1
177,177,Brazil,4
177,177,Begin,1
178,178,Begin,1
178,178,Peru,4
178,178,Begin,1
179,179,Begin,1
179,179,Chile,4
179,179,Begin,1
180,180,Begin,1
180,180,Colombia,4
180,180,Begin,1
181,181,Begin,1
181,181,Colombia,4
181,181,Begin,1
182,182,Begin,1
182,182,Brazil,4
182,182,Begin,1
183,183,Begin,1
183,183,Other,4
183,183,Begin,1
184,184,Begin,1
184,184,Brazil,4
184,184,Begin,1
185,185,Begin,1
185,185,Other,4
185,185,Begin,1
186,186,Begin,1
186,186,Mexico,4
186,186,Begin,1
187,187,Begin,1
187,187,Chile,4
187,187,Begin,1
188,188,Begin,1
188,188,US,4
188,188,Begin,1
189,189,Begin,1
189,189,Brazil,4
189,189,Begin,1
190,190,Begin,1
190,190,Other,4
190,190,Begin,1
191,191,Begin,1
191,191,Mexico,4
191,191,Begin,1
192,192,Begin,1
192,192,Mexico,4
192,192,Begin,1
193,193,Begin,1
193,193,Brazil,4
193,193,Begin,1
194,194,Begin,1
194,194,Peru,4
194,194,Begin,1
195,195,Begin,1
195,195,Mexico,4
195,195,Begin,1
196,196,Begin,1
196,196,Brazil,4
196,196,Begin,1
197,197,Begin,1
197,197,Mexico,4
197,197,Begin,1
198,198,Begin,1
198,198,Mexico,4
198,198,Begin,1
199,199,Begin,1
199,199,Mexico,4
199,199,Begin,1
200,200,Begin,1
200,200,Other,4
200,200,Begin,1
201,201,Begin,1
201,201,Mexico,4
201,201,Begin,1
202,202,Begin,1
202,202,US,4
202,202,Begin,1
203,203,Begin,1
203,203,Peru,4
203,203,Begin,1
204,204,Begin,1
204,204,Peru,4
204,204,Begin,1
205,205,Begin,1
205,205,Other,4
205,205,Begin,1
206,206,Begin,1
206,206,Chile,4
206,206,Begin,1
207,207,Begin,1
207,207,US,4
207,207,Begin,1
208,208,Begin,1
208,208,Mexico,4
208,208,Begin,1
209,209,Begin,1
209,209,Peru,4
209,209,Begin,1
210,210,Begin,1
210,210,Chile,4
210,210,Begin,1
211,211,Begin,1
211,211,Mexico,4
211,211,Begin,1
212,212,Begin,1
212,212,Colombia,4
212,212,Begin,1
213,213,Begin,1
213,213,Other,4
213,213,Begin,1
214,214,Begin,1
214,214,Peru,4
214,214,Begin,1
215,215,Begin,1
215,215,Other,4
215,215,Begin,1
216,216,Begin,1
216,216,Other,4
216,216,Begin,1
217,217,Begin,1
217,217,Mexico,4
217,217,Begin,1
218,218,Begin,1
218,218,Colombia,4
218,218,Begin,1
219,219,Begin,1
219,219,Mexico,4
219,219,Begin,1
220,220,Begin,1
220,220,Mexico,4
220,220,Begin,1
221,221,Begin,1
221,221,Peru,4
221,221,Begin,1
222,222,Begin,1
222,222,Colombia,4
222,222,Begin,1
223,223,Begin,1
223,223,Chile,4
223,223,Begin,1
224,224,Begin,1
224,224,Chile,4
224,224,Begin,1
225,225,Begin,1
225,225,Chile,4
225,225,Begin,1
226,226,Begin,1
226,226,US,4
226,226,Begin,1
227,227,Begin,1
227,227,US,4
227,227,Begin,1
228,228,Begin,1
228,228,Mexico,4
228,228,Begin,1
229,229,Begin,1
229,229,Colombia,4
229,229,Begin,1
230,230,Begin,1
230,230,Peru,4
230,230,Begin,1
231,231,Begin,1
231,231,Brazil,4
231,231,Begin,1
232,232,Begin,1
232,232,US,4
232,232,Begin,1
233,233,Begin,1
233,233,US,4
233,233,Begin,1
234,234,Begin,1
234,234,Peru,4
234,234,Begin,1
235,235,Begin,1
235,235,Other,4
235,235,Begin,1
236,236,Begin,1
236,236,Mexico,4
236,236,Begin,1
237,237,Begin,1
237,237,Other,4
237,237,Begin,1
238,238,Begin,1
238,238,US,4
238,238,Begin,1
239,239,Begin,1
239,239,Peru,4
239,239,Begin,1
240,240,Begin,1
240,240,Colombia,4
240,240,Begin,1
241,241,Begin,1
241,241,Peru,4
241,241,Begin,1
242,242,Begin,1
242,242,US,4
242,242,Begin,1
243,243,Begin,1
243,243,Brazil,4
243,243,Begin,1
244,244,Begin,1
244,244,Brazil,4
244,244,Begin,1
245,245,Begin,1
245,245,US,4
245,245,Begin,1
246,246,Begin,1
246,246,US,4
246,246,Begin,1
247,247,Begin,1
247,247,Mexico,4
247,247,Begin,1
248,248,Begin,1
248,248,US,4
248,248,Begin,1
249,249,Begin,1
249,249,Other,4
249,249,Begin,1
250,250,Begin,1
250,250,Mexico,4
250,250,Begin,1
